timestamp,target_x,target_y,target_yaw,robot_x,robot_y,robot_yaw,error_distance,error_yaw
1746362414.2852464,1.25,0.275,0.4363323129986119,-1.743908779914125,1.7236238796637875,-0.49891221252517604,3.3259586478456176,53.58556412522825
1746362414.5529234,1.25,0.275,0.4363323129986119,-1.6523870680787265,1.673390208747426,-0.2640492187752581,3.2216992207329502,40.12890581955052
1746362414.7585967,1.25,0.275,0.4363323129986119,-1.5599461127755088,1.6486009577090623,-0.24356611074618803,3.1277111036221754,38.95531017817427
1746362414.9895437,1.25,0.275,0.4363323129986119,-1.4807150438026626,1.630038704342859,-0.4199803065843252,3.048431488604812,49.06309904589391
1746362415.3202918,1.25,0.275,0.4363323129986119,-1.3898156901106027,1.5875234108948246,-0.6504333919732969,2.948108644860481,62.26708821444996
1746362415.6248746,1.25,0.275,0.4363323129986119,-1.2906941696550156,1.5103811307348036,-0.6592303946824881,2.8251182987433623,62.77111934205177
1746362415.9089386,1.25,0.275,0.4363323129986119,-1.207937133417923,1.4474271372300442,-0.43785168764400756,2.7232407796498923,50.087053754683744
1746362416.2436097,1.25,0.275,0.4363323129986119,-1.1264358805409027,1.4092029212482198,-0.22556995806742122,2.6332230746539897,37.92420658220789
1746362416.51724,1.25,0.275,0.4363323129986119,-1.0239198717762439,1.3851566146605574,-0.25492013011221515,2.530446461068378,39.60584756835743
1746362416.7874744,1.25,0.275,0.4363323129986119,-0.9198322768423786,1.3570911663598466,-0.5299929439021868,2.4246841860211394,55.3663588573108
1746362417.00282,1.25,0.275,0.4363323129986119,-0.8534143817719533,1.3186624136990763,-0.7153915416593263,2.348102062350202,65.9889160364385
1746362417.2496457,1.25,0.275,0.4363323129986119,-0.782952878201747,1.255880548660186,-0.6163262376905865,2.257215996693421,60.3128922228491
1746362417.460189,1.25,0.275,0.4363323129986119,-0.7339381636558867,1.2161003196025952,-0.35846903352337994,2.1958325183780296,45.538762707024986
1746362417.6766443,1.25,0.275,0.4363323129986119,-0.7215497544813947,1.2041097821099167,-0.17103759538988778,2.1795076098990767,34.79973235390849
1746362417.8392804,1.25,0.275,0.4363323129986119,-0.7184168643981371,1.1924069578730068,0.08603419871332009,2.1717045099186025,20.070603519938594
1746362418.1105578,1.25,0.275,0.4363323129986119,-0.7043533750712723,1.182363894131255,0.40388293985425755,2.1547172322663384,1.8592121290166626
1746362418.336541,1.25,0.275,0.4363323129986119,-0.6731991465296072,1.193373874935943,0.48135016241971434,2.1312216054125086,-2.5793327745846253
1746362418.5409324,1.25,0.275,0.4363323129986119,-0.630216581121189,1.2158991996873527,0.4796679617433362,2.1024998682271905,-2.4829497755341055
1746362418.7681897,1.25,0.275,0.4363323129986119,-0.5871322511232233,1.2383306673760084,0.4794770457436454,2.0743820484241056,-2.4720110945103024
1746362419.0081444,1.25,0.275,0.4363323129986119,-0.5487215053040984,1.2581920655389485,0.4843656154427787,2.04989406833187,-2.7521055061261768
1746362419.344622,1.25,0.275,0.4363323129986119,-0.4917912801406974,1.2875160821115614,0.509995126521608,2.0147023800325234,-4.220568321926886
1746362419.509711,1.25,0.275,0.4363323129986119,-0.4608230975091393,1.3039553770261803,0.5367687918974869,1.996412993065777,-5.754586350060289
1746362419.7071464,1.25,0.275,0.4363323129986119,-0.4263489405261267,1.323604918587654,0.5654332025005078,1.9773006968312352,-7.396936099843429
1746362419.871455,1.25,0.275,0.4363323129986119,-0.40305711435928676,1.3379047885692419,0.5795988102501862,1.9652899055603164,-8.208565638137816
1746362420.0982013,1.25,0.275,0.4363323129986119,-0.35996567677006974,1.36567261144056,0.5931394222882176,1.9446223864093202,-8.98438555994105
1746362420.357849,1.25,0.275,0.4363323129986119,-0.3205912906015795,1.3919824151372038,0.6019351989744691,1.9272796158936762,-9.488346441602827
1746362420.608999,1.25,0.275,0.4363323129986119,-0.27651391900503663,1.4222625105827207,0.6016512167510766,1.9095695884425583,-9.472075458745692
1746362420.965334,1.25,0.275,0.4363323129986119,-0.22442233978004866,1.4580056894996647,0.6015805960211763,1.8903501520699946,-9.468029188976274
1746362421.240312,1.25,0.275,0.4363323129986119,-0.1763365547345413,1.4909981551437899,0.6015302262953945,1.8743232060360082,-9.465143216273749
1746362421.5002108,1.25,0.275,0.4363323129986119,-0.13626233396691445,1.5184891182867053,0.6015064743096433,1.8622535933306303,-9.463782327735148
1746362421.705379,1.25,0.275,0.4363323129986119,-0.1009206433623012,1.5440823311441543,0.5621659466088319,1.8535254376146812,-7.2097361266611495
1746362421.987692,1.25,0.275,0.4363323129986119,-0.08132906469984055,1.575860367318041,0.01667516231395644,1.8613636865946916,24.044583576716384
1746362422.1769578,1.25,0.275,0.4363323129986119,-0.050096549209921445,1.5785073082664602,-0.01744491760992112,1.8410275228718385,25.99952015300362
1746362422.4381683,1.25,0.275,0.4363323129986119,-0.023623973753088896,1.571955316235355,0.17377409211798053,1.8177489152327277,15.043477932923825
1746362422.6419969,1.25,0.275,0.4363323129986119,-0.003233424688935417,1.5708187847858013,0.31702522665729443,1.8027036195008066,6.835792513360402
1746362422.8561592,1.25,0.275,0.4363323129986119,0.046297563838950055,1.586670315285498,0.3211566563504488,1.7802748582230792,6.599079028587627
1746362423.139148,1.25,0.275,0.4363323129986119,0.09711005845740513,1.603569050614275,0.3209240703939923,1.7590483050673178,6.6124052222666
1746362423.4736369,1.25,0.275,0.4363323129986119,0.1571458781777239,1.6235131656291624,0.3209298954084123,1.735747069552221,6.612071473524729
